name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature
Rasa Ini,Storytelling,Vierra,3LmIuk8h3S0DSZ9gtnVuaP,2022-02-07,63,240266,0.58,0.852,0.49,2.85e-05,0.402,0.194,-6.267,0.0286,124.986,2,4
Sahabat Kecil,Laskar Pelangi,Various Artists,6Hk0oWJYqozKWWZdFbqGRr,2008-09-24,53,245000,0.594,0.543,0.38,0.0,0.0943,0.345,-7.813,0.0329,82.39,9,3
I Remember,I Remember,Mocca,2pb1TmG342aDAPgJFRyfIW,2017-11-01,51,165000,0.732,0.883,0.328,0.0,0.0864,0.55,-7.72,0.0327,112.104,0,4
Semakin Ku Kejar Semakin Kau Jauh (SKSJ),Semua Ini Sendiri,Five Minutes,5USlcP7gkpSzzdGGCAZ4ya,2009-01-15,54,255883,0.699,0.153,0.694,0.0,0.0755,0.96,-5.455,0.0303,112.038,9,4
Katakanlah,Bintang Yang B3rsinar,Drive,4mJnQ2iqrIbeTnY65KC5kf,2010-11-03,45,211320,0.432,0.00194,0.726,0.014,0.16,0.397,-5.872,0.0286,164.004,9,4
Cinta Terbaik,Cinta Terbaik,Cassandra,0Afs1hDADIDxx31FyJIEXm,2017-08-04,61,241449,0.544,0.623,0.389,0.0,0.125,0.157,-7.332,0.0292,144.37,8,4
Selamanya Cinta,OST Cintapuccino,Various Artists,4DX8Ejmm8dMRklWeSnOckn,2007,49,299160,0.416,0.82,0.226,0.000272,0.143,0.178,-10.934,0.0338,138.852,7,4
Cinta,The Best Slow Vina Panduwinata,Vina Panduwinata,4KKVDCGDH2ykRAo9Vnwpiu,1995-10-08,48,241543,0.499,0.749,0.444,0.0,0.423,0.349,-8.702,0.0291,127.661,11,4
Bersamamu,Storytelling,Vierra,5rsd4O4o9TkMRB4s6h75Bb,2022-02-07,52,252306,0.441,0.958,0.242,0.0,0.0979,0.381,-9.474,0.0312,140.546,3,4
Aku Cinta Kau Dan Dia,Master Mister Ahmad Dhani I,The Rock,2oOuucUnBxy9pJ4lIkeaeD,2007-08-31,61,291781,0.589,0.189,0.725,0.0,0.32,0.732,-6.265,0.0611,165.866,9,4
